,fighter,country,age,weightClass,wins,loses,draws,tko wins,tko lose,subs win,subs lose,total
4847,Pawel Zalewski,POLAND,33.0,Middleweight,0,2,0,0,1,0,0,2
4853,Hans Canko,USA,45.0,Middleweight,0,1,0,0,1,0,0,1
4871,Fikret Darzanoff,USA,40.0,Middleweight,0,1,0,0,1,0,0,1
5099,Brian Grinnell,USA,30.0,Middleweight,0,1,0,0,1,0,0,1
5138,John Gorman,USA,26.0,Open Weight,0,1,0,0,1,0,0,1
5140,Kaido Hoovelson,ESTONIA,33.0,Open Weight,3,1,0,0,1,0,0,4
5158,Danijel Arandjelovic,SERBIA,21.0,Welterweight,0,1,0,0,1,0,0,1
5159,Vasile Botnaru,MOLDOVA,24.0,Welterweight,0,1,0,0,1,0,0,1
5162,Marco Grzincich,ITALY,40.0,Welterweight,0,1,0,0,1,0,0,1
5172,Anderson de Queiroz Diniz,BRAZIL,31.0,Welterweight,1,1,0,0,1,0,0,2
5173,Rocky Edwards,USA,35.0,Welterweight,0,4,1,0,1,0,0,5
5175,Viktor Halmi,HUNGARY,32.0,Welterweight,0,2,0,0,1,0,0,2
5200,Jerel Clark,USA,30.0,Welterweight,0,1,0,0,1,0,0,1
5212,Brian Grimshaw,CANADA,32.0,Welterweight,0,1,0,0,1,0,0,1
5241,Morgan Rapp,USA,28.0,Welterweight,0,1,0,0,1,0,0,1
5284,Jonathan Mix,USA,37.0,Welterweight,0,1,0,0,1,0,0,1
5287,Brian Nielson,USA,29.0,Welterweight,0,2,0,0,1,0,0,2
5293,Jared Rollins,USA,41.0,Welterweight,0,1,0,0,1,0,0,1
5296,Mike Scarcello,CANADA,28.0,Welterweight,0,2,1,0,1,0,0,3
5297,Rafael Silva,BRAZIL,31.0,Welterweight,0,2,0,0,1,0,0,2
5441,Gina Begley,USA,37.0,Women's Flyweight,0,1,0,0,1,0,0,1
5442,Carmela James,USA,24.0,Women's Flyweight,0,3,0,0,1,0,0,3
5444,Kaytlin Neil,USA,26.0,Women's Flyweight,1,3,0,0,1,0,0,4
8308,Aslan Toktarbaev,KAZAKHSTAN,34.0,Bantamweight,0,3,0,0,2,0,0,3
8310,Hellen Bastos,BRAZIL,29.0,Strawweight,0,2,0,0,2,0,0,2
8314,Leslie Rodriguez,USA,23.0,Featherweight,0,2,0,0,2,0,0,2
8318,Dia Grant,CANADA,30.0,Lightweight,0,3,0,0,2,0,0,3
8320,Oscar de la Parra,USA,30.0,Welterweight,0,2,0,0,2,0,0,2
8321,Andre Tieva,USA,28.0,Featherweight,0,2,0,0,2,0,0,2
8322,Shin Kochiwa,JAPAN,37.0,Lightweight,1,2,0,0,2,0,0,3
8328,Vahan Bojukyan,ARMENIA,41.0,Light Heavyweight,0,2,0,0,2,0,0,2
8333,Matteo Piran,ITALY,39.0,Middleweight,0,2,0,0,2,0,0,2
8334,Glenn Reeves,USA,38.0,Middleweight,0,2,0,0,2,0,0,2
8338,Anthony Hernandez,USA,35.0,Welterweight,0,2,0,0,2,0,0,2
8339,Jarrod L'Heureux,USA,35.0,Welterweight,0,2,0,0,2,0,0,2
8341,Tyler O'Brien,CANADA,29.0,Welterweight,0,2,0,0,2,0,0,2
8354,Munil Adriano,BRAZIL,35.0,Bantamweight,0,3,0,0,2,0,0,3
8389,Rodolfo Marques Diniz,BRAZIL,34.0,Featherweight,3,4,1,0,2,0,0,8
8395,Juntaro Ushiku,JAPAN,23.0,Featherweight,0,2,0,0,2,0,0,2
8401,Fumihiro Kitahara,JAPAN,34.0,Flyweight,0,3,0,0,2,0,0,3
8430,Gilbert Aldana,USA,40.0,Heavyweight,0,2,0,0,2,0,0,2
8433,Clayton Jones,USA,30.0,Heavyweight,0,2,0,0,2,0,0,2
8434,Eun Soo Lee,SOUTH KOREA,36.0,Heavyweight,0,2,0,0,2,0,0,2
8435,Hatef Moeil,GERMANY,31.0,Heavyweight,0,2,0,0,2,0,0,2
8472,Mark Honneger,USA,29.0,Light Heavyweight,0,2,0,0,2,0,0,2
8475,Yutaka Ueda,JAPAN,34.0,Lightweight,1,2,0,0,2,0,0,3
8476,Mario Saeed,ENGLAND,27.0,Lightweight,0,2,0,0,2,0,0,2
8477,Michal Kozmer,CZECH REPUBLIC,23.0,Lightweight,0,2,0,0,2,0,0,2
8560,Joe Bunch,USA,34.0,Middleweight,1,2,0,0,2,0,0,3
8575,Zane Frazier,USA,51.0,Open Weight,0,2,0,0,2,0,0,2
8581,Adron Morrison,USA,35.0,Welterweight,0,2,0,0,2,0,0,2
8870,Jennifer Scott,USA,38.0,Bantamweight,0,4,0,0,3,0,0,4
8871,Kenichi Ito,JAPAN,42.0,Featherweight,0,4,2,0,3,0,0,6
8872,Missael Silva de Souza,BRAZIL,33.0,Featherweight,0,3,0,0,3,0,0,3
8879,Jesus Martinez,USA,34.0,Catch Weight,1,4,0,0,3,0,0,5
8885,Artak Nazaryan,UKRAINE,30.0,Featherweight,0,4,0,0,3,0,0,4
8898,Cassio Barbosa de Oliveira,BRAZIL,35.0,Light Heavyweight,0,3,0,0,3,0,0,3
8906,Steve Lopez,USA,33.0,Lightweight,1,4,0,0,3,0,0,5
8916,Andre Reinders,CZECH REPUBLIC,37.0,Middleweight,0,4,0,0,3,0,0,4
8918,LeVon Maynard,USA,34.0,Welterweight,2,5,0,0,3,0,0,7
8971,Tamikka Brents,USA,29.0,Featherweight,2,0,0,1,0,0,0,2
8975,Lauren Barefoot,USA,27.0,Bantamweight,1,0,0,1,0,0,0,1
8981,Ryogo Takahashi,JAPAN,29.0,Featherweight,1,0,0,1,0,0,0,1
8989,Joey Holt,USA,33.0,Lightweight,1,1,0,1,0,0,0,2
8991,Jong-Dae Kim,SOUTH KOREA,37.0,Middleweight,1,0,0,1,0,0,0,1
8997,Vladimir Mineev,RUSSIA,28.0,Middleweight,2,1,0,1,0,0,0,3
8998,Baysangur Vakhitov,RUSSIA,26.0,Middleweight,1,0,0,1,0,0,0,1
9006,Cosmo Alexandre,BRAZIL,36.0,Lightweight,2,1,0,1,0,0,0,3
9009,Eli Wynter,USA,25.0,Middleweight,1,0,0,1,0,0,0,1
9017,Phil Caracappa,USA,26.0,Bantamweight,4,0,0,1,0,0,0,4
9021,Rudy Morales,USA,33.0,Bantamweight,3,2,0,1,0,0,0,5
9022,Joe Neal,USA,31.0,Bantamweight,5,2,0,1,0,0,0,7
9039,Wang Ya Wei,CHINA,24.0,Featherweight,1,1,0,1,0,0,0,2
